clause_number,clause_name,clause_description,extraction_inclusion_criteria,extraction_exclusion_criteria
001,Position and Title,"Defines the employee's job title, position, classification, and role within the organization. This clause establishes the employee's place in the corporate structure and may impact entitlements under the Employment Standards Act, 2000 (ESA) regarding overtime exemptions for managers/supervisors under O. Reg. 285/01. Critical for determining whether employee falls under managerial exemptions and for establishing the fundamental nature of the employment relationship as per common law principles.","Must include: specific job title, position name, department/division placement, employee classification (full-time/part-time/temporary/permanent), reference to job grade or level, management/supervisory designation if applicable, exempt/non-exempt status under ESA, any dual role arrangements, acting or interim position designations, reference to National Occupational Classification (NOC) codes if applicable","Must exclude: detailed job duties or responsibilities, performance expectations, reporting relationships, compensation tied to position, work location, hours of work, probationary status, employment type beyond classification, career progression or promotion paths"
002,Duties and Responsibilities,"Comprehensive description of job functions, tasks, and obligations the employee must perform. Essential for establishing the employment contract's fundamental terms and potential constructive dismissal claims under common law if substantially changed (Farber v. Royal Trust Co., 1997 CanLII 387 SCC). Must be read in conjunction with Ontario Human Rights Code requirements for accommodation to the point of undue hardship and AODA standards for accessible employment.","Must include: primary job functions and essential duties, specific tasks and deliverables, scope of authority and decision-making power, budget or financial responsibilities, safety responsibilities under Occupational Health and Safety Act, quality standards and service levels, regulatory compliance obligations, fiduciary duties if applicable, duty of good faith and fidelity per common law, confidentiality obligations during employment, travel requirements as part of duties, on-call or emergency response duties, cross-functional responsibilities","Must exclude: job title alone without duties, reporting structure, performance metrics or KPIs, training requirements, tools or equipment provided, work location, compensation for duties performed, hours of work, professional development expectations"
003,Reporting Structure,"Establishes organizational hierarchy, direct reporting relationships, and supervision responsibilities. Important for vicarious liability under common law, determining managerial exemptions under ESA O. Reg. 285/01, and establishing authority for Occupational Health and Safety Act obligations. May impact constructive dismissal claims if reporting structure changes substantially diminish employee's position (Farquhar v. Butler Brothers Supplies Ltd., 1988 CanLII 185 BCCA).","Must include: direct supervisor/manager identification by title or name, dotted-line reporting relationships, matrix reporting structures, number and types of direct reports, supervisory responsibilities and authority levels, participation in management committees, board reporting if applicable, delegation of authority provisions, temporary reporting during absences, cross-functional team leadership, project-based reporting structures, changes to reporting structure procedures","Must exclude: general collaboration requirements, job duties unrelated to supervision, performance review process, compensation for supervisory duties, team membership without reporting implications, customer or external relationships, professional development reporting, committee participation without authority"
004,Base Salary/Wages,"Fixed compensation amount establishing the employment contract's consideration and ensuring compliance with ESA minimum wage requirements (currently $17.20/hour as of 2024) and pay equity obligations under Pay Equity Act for applicable employers. Must comply with payment provisions under ESA s.11 regarding regular pay periods and statements. Forms basis for calculating vacation pay (minimum 4% under ESA s.35), public holiday pay, and severance entitlements.","Must include: annual salary or hourly wage rate, payment frequency (weekly/bi-weekly/semi-monthly/monthly per ESA s.11), currency of payment, base salary exclusive of other compensation, minimum wage compliance confirmation, pay equity considerations if applicable, salary grade or band references, geographic pay differentials, shift premiums under ESA, weekend or evening differentials, guaranteed minimum earnings, draw against commission if applicable, salary during notice period provisions","Must exclude: bonuses or incentive compensation, commission structures, overtime payments, benefits value, stock options or equity, perquisites or allowances, expense reimbursements, profit sharing, severance pay calculations, vacation pay (though calculated from base), holiday pay premiums, retroactive pay adjustments"
005,Variable Compensation/Bonuses,"Performance-based compensation including bonuses, incentives, commissions, and profit-sharing arrangements. Must comply with ESA requirements that bonuses may be included in calculating minimum wage (s.5(1)) and vacation pay (s.35.2). Common law principles from cases like Paquette v. TeraGo Networks Inc., 2016 ONCA 618 establish that bonus entitlements during notice period depend on contract language regarding 'active employment'.","Must include: bonus structure and calculation methodology, performance metrics and targets (personal/team/company), commission rates and structures, profit-sharing formulas, sales incentive plans, eligibility requirements and qualifying periods, payment timing and frequency, discretionary vs. non-discretionary designation, clawback provisions, bonus entitlement during leaves or notice period, accelerators and decelerators, territory or account assignments for commission, revenue recognition policies, bonus pool determinations","Must exclude: base salary or wages, standard benefits, pension contributions, stock options (unless cash-settled), perquisites, expense reimbursements, severance pay, overtime pay, shift premiums, retention bonuses (separate clause), signing bonuses (separate clause)"
006,Benefits Package,"Health and welfare benefits including extended health, dental, vision, life insurance, and disability coverage. Must comply with ESA continuation during statutory leaves (s.51) and Ontario Human Rights Code requirements for equal treatment. Insurance Act and federal/provincial regulations govern group benefit plans. Benefits continuation during notice period is presumed under common law unless explicitly excluded (Taggart v. Canada Life Assurance Co., 2006 CanLII 53345 ON CA).","Must include: extended health care coverage details and employee contributions, dental care coverage and annual maximums, vision care benefits and frequency, life insurance (basic and optional) and AD&D coverage, short-term disability terms and elimination periods, long-term disability coverage and benefit percentages, Employee Assistance Programs (EAP), wellness programs and health spending accounts, paramedical services coverage, prescription drug formulary tiers, out-of-country emergency medical, dependent coverage and definitions, coverage during leaves of absence, benefits continuation during notice period, waiting periods for new employees, evidence of insurability requirements","Must exclude: pension or retirement savings, vacation entitlements, statutory leaves, workers' compensation (WSIB), employment insurance (EI), Canada Pension Plan (CPP), stock options, perquisites, professional development funding, parking or transportation benefits"
007,Pension and Retirement Plans,"Retirement savings including defined benefit/contribution pension plans, RRSPs, DPSPs, and TFSAs. Governed by Pension Benefits Act (Ontario), Income Tax Act (federal), and must comply with ESA requirements for benefit continuation during leaves. Pension Benefits Guarantee Fund provides protection for defined benefit plans. Common law recognizes pension as deferred compensation requiring reasonable notice for changes (Schmidt v. AMEC Earth & Environmental, 2004 ABQB 509).","Must include: registered pension plan details (defined benefit/contribution/hybrid), employer contribution amounts or formulas, employee contribution requirements (mandatory/optional), RRSP matching programs and limits, Deferred Profit Sharing Plans (DPSP), Tax-Free Savings Account (TFSA) programs, vesting schedules and cliff/graded vesting, portability and transfer options, early retirement provisions and bridges, normal retirement date definitions, pension adjustment calculations, past service buyback options, survivor benefits, pension continuation during leaves, compliance with Pension Benefits Act standards","Must exclude: general benefits package, severance pay arrangements, stock options or equity plans, performance bonuses, health and welfare benefits, insurance products, non-registered savings plans, financial planning services, retirement transition programs without pension component"
008,Stock Options and Equity,"Equity compensation including stock options, restricted stock units (RSUs), performance share units (PSUs), employee share purchase plans (ESPPs), and phantom stock. Governed by Income Tax Act provisions for employee stock options, securities legislation, and TSX/corporate governance requirements. Common law treatment during notice period established in cases like Veer v. Dover Corporation (Canada), 1999 CanLII 3008 ON CA, requiring clear exclusion language.","Must include: stock option grants and exercise prices, vesting schedules and acceleration triggers, RSU/PSU grant terms and performance metrics, ESPP contribution limits and discounts, exercise periods and blackout restrictions, change of control provisions (single/double trigger), tax withholding and Section 7 ITA implications, transferability restrictions, clawback and forfeiture conditions, good leaver/bad leaver provisions, underwater option treatment, dividend equivalent rights, option repricing policies, securities law compliance requirements, insider trading policy application","Must exclude: cash bonuses or profit sharing, pension or retirement plans, base salary, standard benefits, perquisites, deferred compensation (non-equity), retention bonuses (unless equity-based), transaction bonuses, founder shares or sweat equity"
009,Perquisites and Allowances,"Executive perquisites and special allowances beyond standard compensation and benefits. Canada Revenue Agency (CRA) treats many perquisites as taxable benefits under Income Tax Act s.6. Must be reasonable and connected to business purpose to avoid shareholder benefit implications. Common law recognizes perquisites as part of compensation package for wrongful dismissal calculations (Piresferreira v. Ayotte, 2010 ONCA 384).","Must include: vehicle allowance or company car provisions, parking space allocation and costs, club memberships (business/social/fitness), mobile phone and technology allowances, home office stipends and equipment, executive physical examinations, financial planning services, tax preparation assistance, professional association dues, publication subscriptions, executive dining privileges, first/business class travel policies, spousal travel provisions, accommodation allowances, clothing or uniform allowances, personal security services, Directors & Officers insurance","Must exclude: base salary, standard employee benefits, performance bonuses, stock options, pension contributions, business expense reimbursements, relocation expenses, professional development costs, standard technology for job performance, mandatory safety equipment"
010,Work Location,"Primary place of work, remote work arrangements, and geographic assignment. Significant changes may constitute constructive dismissal under common law (Farquhar v. Butler Brothers). Must comply with Occupational Health and Safety Act requirements for workplace safety regardless of location. ESA applies to Ontario-based employees regardless of where work is performed. Cross-border employment raises Income Tax Act and workers' compensation issues.","Must include: primary office or facility address, remote work eligibility and requirements, hybrid work schedules and in-office requirements, home office designation and safety requirements, multi-site work arrangements, field work territories, client site assignments, international assignment possibilities, work from anywhere policies and restrictions, co-working space provisions, hot-desking or hoteling arrangements, satellite office access, jurisdiction for employment law purposes, tax point of employment, workers' compensation coverage location, choice of law provisions","Must exclude: business travel requirements, commute time or compensation, relocation terms, training locations, conference attendance, temporary assignments, overtime work location, emergency response locations, parking arrangements at work location"
