topic,content,source_type,relevance
ESA Minimum Wage 2024,"As of October 1, 2024, Ontario's general minimum wage is $17.20 per hour. This applies to most employees in Ontario. Students under 18 working 28 hours per week or less when school is in session or during breaks receive $16.20 per hour. Homeworkers receive $18.90 per hour. Hunting and fishing guides receive minimum rates of $86.00 for less than 5 consecutive hours in a day or $172.05 for 5+ hours.","Statutory Requirement","Base Salary/Wages"
ESA Notice Periods,"Under ESA sections 54-55, minimum notice periods are: less than 1 year = no notice required; 1 year to less than 3 years = 1 week; 3 years to less than 4 years = 2 weeks; 4 years to less than 5 years = 3 weeks; 5 years to less than 6 years = 4 weeks; 6 years to less than 7 years = 5 weeks; 7 years to less than 8 years = 6 weeks; 8 years or more = 8 weeks. These are minimums; common law may require more.","Statutory Requirement","Termination Without Cause"
ESA Severance Pay,"ESA section 64 requires severance pay when: (1) employer's annual Ontario payroll is at least $2.5 million, AND (2) employee has 5+ years of service. Severance is calculated as 1 week per year of service, maximum 26 weeks. Severance is in addition to notice or pay in lieu of notice. It is payable even if employer provides working notice.","Statutory Requirement","Severance Pay and Packages"
ESA Vacation Entitlements,"ESA section 33 mandates: 2 weeks vacation after completing each 12-month vacation entitlement year, until 5 years of employment. After 5 years: 3 weeks vacation per year. Vacation pay: 4% of gross wages for employees with less than 5 years; 6% for 5+ years. Employers cannot implement 'use it or lose it' policies that violate ESA minimums.","Statutory Requirement","Vacation and Time Off"
ESA Statutory Holidays,"ESA provides 9 public holidays: New Year's Day, Family Day, Good Friday, Victoria Day, Canada Day, Labour Day, Thanksgiving Day, Christmas Day, Boxing Day. Employees who qualify must receive public holiday pay or substitute day off. Premium pay of 1.5x regular rate applies if working on the holiday and employee qualifies for holiday pay.","Statutory Requirement","Statutory Holidays and Leaves"
ESA Hours of Work Limits,"ESA section 17 sets daily and weekly limits: maximum 8 hours per day (or the number of hours in the employee's regular work day if it is more than 8), maximum 48 hours per week unless employee agrees in writing to work more. Daily/weekly maximums can be exceeded with written agreements or Ministry approval. Averaging agreements under section 22(2) allow averaging over specified period.","Statutory Requirement","Work Hours and Schedule"
ESA Overtime Pay,"ESA section 22 requires overtime pay at 1.5x regular rate for hours worked over 44 in a week. Certain employees are exempt under O. Reg. 285/01 including managers, supervisors, professionals (architects, lawyers, etc.), and others. Overtime can be replaced with 1.5 hours of paid time off for each hour of overtime if employee agrees in writing.","Statutory Requirement","Work Hours and Schedule"
ESA Pregnancy and Parental Leave,"Pregnancy leave: up to 17 weeks (ESA s.46). Parental leave: 61 weeks for birth mothers, 63 weeks for other parents (ESA s.48). Employees must have worked 13 weeks before leave. Benefits continue during leave (s.51). Reinstatement to same or comparable position required (s.53). Termination during leave prohibited except for reasons unrelated to leave.","Statutory Requirement","Statutory Holidays and Leaves"
ESA Electronic Monitoring Disclosure,"As of October 11, 2022, ESA section 41.1.1 requires employers with 25+ employees to have a written policy on electronic monitoring of employees. The policy must be provided to employees within 30 days of hiring or policy establishment. Electronic monitoring includes tracking employee activity through computers, phones, GPS, or other means.","Statutory Requirement","Privacy and Data Protection"
ESA Non-Competition Ban,"ESA section 67.2 (effective October 25, 2021) generally voids non-competition agreements for employees except: (1) executive employees, (2) employees in connection with sale of business, (3) employees working on confidential information. Non-solicitation agreements remain enforceable if reasonable. Applies to agreements entered or amended after October 25, 2021.","Statutory Requirement","Non-Competition Covenant"
Bardal Factors for Reasonable Notice,"Common law reasonable notice based on Bardal v Globe & Mail (1960): character of employment (seniority, importance), length of service, employee's age, availability of similar employment. These factors can result in notice periods substantially exceeding ESA minimums, ranging from 2-24 months depending on circumstances. Contracts can limit to ESA minimums if properly drafted.","Case Law","Termination Without Cause"
Machtinger v HOJ Industries,"Supreme Court of Canada (1992 CanLII 102): Employment contract termination clauses that attempt to contract out of ESA minimum standards are void and unenforceable. If termination clause is void, employee entitled to common law reasonable notice. Clause must be clear, unambiguous, and comply with ESA minimums to be enforceable.","Case Law","Termination Without Cause"
McKinley v BC Tel Proportionality Test,"Supreme Court of Canada (2001 SCC 38): Just cause for dismissal must be proportional to the misconduct. Not all dishonesty justifies dismissal. Context matters - employment history, nature of position, circumstances of misconduct. Progressive discipline usually required except for most serious misconduct. Employer's trust going to root of employment relationship may justify summary dismissal.","Case Law","Termination With Cause"
Farber v Royal Trust Constructive Dismissal,"Supreme Court of Canada (1997 CanLII 387): Unilateral changes to essential terms of employment can constitute constructive dismissal. Duties and responsibilities are fundamental terms. Significant changes to job duties, even without demotion or pay reduction, may be constructive dismissal if they undermine the nature of the employment relationship.","Case Law","Duties and Responsibilities"
Paquette v TeraGo Networks Bonus Entitlement,"Ontario Court of Appeal (2016 ONCA 618): Whether employee entitled to bonus during notice period depends on contract language. If bonus plan requires 'active employment', employee may not be entitled during notice. Clear language required to exclude bonus during notice. Ambiguity resolved in favor of employee.","Case Law","Variable Compensation/Bonuses"
Lin v Ontario Teachers' Pension Plan,"Ontario Court of Appeal (2016 ONCA 619): Discretionary bonus entitlement during notice period requires contract to explicitly exclude bonuses during notice or working notice. Absent clear language, employee presumptively entitled to bonuses earned during reasonable notice period, whether working or not. Discretion must be exercised in good faith.","Case Law","Variable Compensation/Bonuses"
Taggart v Canada Life Benefits During Notice,"Ontario Court of Appeal (2006 CanLII 53345): Employer must continue benefits during reasonable notice period unless contract clearly excludes. Benefits are part of compensation package. Employee entitled to continue coverage during working notice and pay in lieu period unless explicitly stated otherwise in clear, unambiguous language.","Case Law","Benefits Package"
Veer v Dover Corporation Stock Options,"Ontario Court of Appeal (1999 CanLII 3008): Employee entitled to exercise stock options during reasonable notice period unless clearly excluded. Options that would have vested during notice period must be available. Clear language required to exclude equity compensation during notice. Applies to stock options, RSUs, and other equity awards.","Case Law","Stock Options and Equity"
